Elapsed time: 7.436271905899048
OnTime_1 13 1 124 0
OnTime_1 13 2 124 0
OnTime_1 13 1 128 0
OnTime_1 13 2 128 0
OnTime_1 13 1 129 0
OnTime_1 13 2 129 0
OnTime_1 13 1 130 0
OnTime_1 13 2 130 0
OnTime_1 13 1 137 0
OnTime_1 13 2 137 0
OnTime_1 13 1 145 0
OnTime_1 13 2 145 0
OnTime_1 13 1 146 0
OnTime_1 13 2 146 0
OnTime_1 13 1 164 0
OnTime_1 13 2 164 0
OnTime_1 13 1 173 0
OnTime_1 13 2 173 0
OnTime_1 13 1 174 0
OnTime_1 13 2 174 0
OnTime_1 13 1 175 0
OnTime_1 13 2 175 0
OnTime_1 13 1 176 0
OnTime_1 13 2 176 0
OnTime_1 13 1 177 0
OnTime_1 13 2 177 0
OnTime_1 13 1 179 0
OnTime_1 13 2 179 0
OnTime_1 13 1 183 0
OnTime_1 13 2 183 0
OnTime_1 13 1 186 0
OnTime_1 13 2 186 0
OnTime_1 13 1 187 0
OnTime_1 13 2 187 0
OnTime_1 13 1 188 0
OnTime_1 13 2 188 0
OnTime_1 13 1 190 0
OnTime_1 13 2 190 0
OnTime_1 13 1 198 0
OnTime_1 13 2 198 0
OnTime_1 13 1 209 0
OnTime_1 13 2 209 0
OnTime_1 14 1 63 0
OnTime_1 14 2 63 0
OnTime_1 14 1 66 0
